id;amount;price;bought;sold;custom_name;group_1;group_2;group_3;group_4;portfolio_id;asset_id
1;93563;33324;2020-12-30T23:51:20;2020-12-31T12:09:26;pixel scale strategize;Vereinigte RSS;Principal Paradigm;HTTP;up;1;2
2;8423;20205;2020-12-31T19:15:33;2020-12-31T05:00:02;Progressive Avon;Central Bedfordshire;Usability Cotton;Groves Wooden Taka;needs-based;1;3
3;53974;96810;2020-12-31T23:25:17;2020-12-31T08:29:36;Fort bypassing Bedfordshire;Chicken;Computers;XML Plastic Distributed;Westsahara Swasiland Manager;1;4
4;58209;40799;2020-12-31T07:08:17;2020-12-31T04:56:58;Rufiyaa Kongo;Configuration Strategist;Reverse-engineered Soft Village;Sausages Checking;Sachsen-Anhalt Regional;1;5
5;13601;98918;2020-12-31T04:27:53;2020-12-31T05:32:57;model Pants;bypassing deploy;Grenadinen Account niches;systemic;Ergonomic;2;1
6;89608;19168;2020-12-31T09:33:22;2020-12-31T07:53:26;payment Kirgisistan up;withdrawal Refined Latvian;compress Cambridgeshire;help-desk Streamlined Rubber;Trail compressing;2;1
7;14266;67833;2020-12-31T16:38:37;2020-12-31T01:51:12;Buckinghamshire;THX;neural Hamburg;Tools Generic Ergonomic;green;2;3
8;88525;58395;2020-12-31T06:28:46;2020-12-31T00:12:13;PCI;transmitting Spur compressing;Ball Tools Future;Mobility compressing;Wooden;2;2
9;34055;13054;2020-12-31T19:00:27;2020-12-31T14:28:54;Computers bandwidth;markets Brooks;panel out-of-the-box deliver;Ameliorated Port indigo;Berkshire program;2;1
10;33127;80142;2020-12-31T17:00:05;2020-12-31T15:59:30;Guatemala e-markets;Fantastic Games;SQL;Fantastic Automotive Avon;Shirt;2;6
