id;name;currency;asset_type;symbol;source
1;Schleswig-Holstein;AED;Custom;context-sensitive;Binance
2;multi-state Egyptian;USD;Stock;Internal Mouse;Binance
3;Isle;USD;Forex;regional Shoes;Binance
4;FTP strategize Omani;AED;Stock;Direct Belgien Turnpike;AlphaVantage
5;Cheese;AED;Stock;Toys capacitor;AlphaVantage
6;Loan flexibility;USD;Custom;supply-chains;AlphaVantage
7;Specialist;USD;Stock;Pizza Hessen;AlphaVantage
8;Senior Norwegen;AED;Stock;Music Wooden und;Binance
9;neutral Division;AED;Crypto;auxiliary Cambridgeshire Borders;AlphaVantage
10;indigo;AED;Stock;Pizza Wooden withdrawal;Binance
